Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(42.7044677734375, 184.32814025878906, 47.04046630859375, 190.12814331054688)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(48.231624603271484, 184.03094482421875, 51.567626953125, 190.12794494628906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(53.2552490234375, 184.4319305419922, 53.936279296875, 190.1279296875)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(55.43072509765625, 186.0004425048828, 58.54472732543945, 190.2244415283203)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(63.002777099609375, 184.03173828125, 66.55377960205078, 190.2247314453125)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(68.17162322998047, 185.99974060058594, 70.74662780761719, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(71.63446807861328, 185.9996337890625, 75.25946807861328, 190.22463989257812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(76.14696502685547, 186.09573364257812, 82.09896850585938, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(83.37823486328125, 184.4319305419922, 84.0582275390625, 190.1279296875)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(85.74542236328125, 185.99974060058594, 89.14542388916016, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(90.6343765258789, 185.99952697753906, 94.12237548828125, 191.99952697753906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(99.06106567382812, 184.0311279296875, 102.54906463623047, 190.22512817382812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(103.86962890625, 186.00013732910156, 107.34062194824219, 190.22413635253906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(108.8689193725586, 184.03134155273438, 109.93292236328125, 190.1753387451172)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(111.14117431640625, 186.00013732910156, 114.90817260742188, 190.22512817382812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(116.3802490234375, 185.99974060058594, 119.7802505493164, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(121.2691421508789, 185.99952697753906, 124.75714111328125, 191.99952697753906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(126.2442626953125, 186.0004425048828, 129.35726928710938, 190.2244415283203)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(133.58297729492188, 185.1360321044922, 136.55996704101562, 190.22503662109375)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(137.66363525390625, 186.00013732910156, 141.43063354492188, 190.22512817382812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(146.2511749267578, 184.32774353027344, 149.63616943359375, 190.12774658203125)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(150.64378356933594, 184.2406463623047, 155.23577880859375, 190.22463989257812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(157.1231689453125, 184.32774353027344, 160.6751708984375, 190.12774658203125)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(162.1942138671875, 189.54393005371094, 162.94622802734375, 190.2789306640625)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(167.20635986328125, 184.32814025878906, 171.5423583984375, 190.12814331054688)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(172.73452758789062, 184.03094482421875, 176.071533203125, 190.12794494628906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(177.5601348876953, 186.00013732910156, 181.32713317871094, 190.22512817382812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(182.6065673828125, 186.0004425048828, 185.72056579589844, 190.2244415283203)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(186.99171447753906, 186.00013732910156, 190.4617156982422, 190.22413635253906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(194.72998046875, 186.09573364257812, 200.68197631835938, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(201.969970703125, 184.03094482421875, 205.30596923828125, 190.12794494628906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(206.79457092285156, 186.00013732910156, 210.5615692138672, 190.22512817382812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(215.0778350830078, 184.03173828125, 218.62982177734375, 190.2247314453125)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(220.24581909179688, 185.99974060058594, 222.8218231201172, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(223.71066284179688, 185.9996337890625, 227.3336639404297, 190.22463989257812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(228.66925048828125, 184.4319305419922, 229.35028076171875, 190.1279296875)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(231.03744506835938, 185.99974060058594, 234.43743896484375, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(239.0816650390625, 185.9996337890625, 242.70567321777344, 190.22463989257812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(243.59327697753906, 186.09573364257812, 249.54428100585938, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(250.5855712890625, 185.9996337890625, 254.20957946777344, 190.22463989257812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(255.05792236328125, 186.09573364257812, 258.79290771484375, 192.0077362060547)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(263.229248046875, 184.4319305419922, 263.9102783203125, 190.1279296875)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(265.6619567871094, 184.03134155273438, 266.7259521484375, 190.1753387451172)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(268.1414489746094, 184.03134155273438, 269.2054443359375, 190.1753387451172)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(270.4136657714844, 186.00013732910156, 273.8836669921875, 190.22413635253906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(275.2046203613281, 185.99952697753906, 278.692626953125, 191.99952697753906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(280.18902587890625, 185.9996337890625, 283.8130187988281, 190.22463989257812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(285.1560363769531, 184.03134155273438, 286.22003173828125, 190.1753387451172)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(287.6365661621094, 184.03134155273438, 288.7005615234375, 190.1753387451172)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(289.62042236328125, 186.09573364257812, 293.3564147949219, 192.0077362060547)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(297.5440368652344, 186.0004425048828, 300.6560363769531, 190.2244415283203)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(302.13592529296875, 184.03094482421875, 305.471923828125, 190.12794494628906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(306.9205627441406, 185.9996337890625, 310.5445556640625, 190.22463989257812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(311.8885803222656, 184.03134155273438, 312.95257568359375, 190.1753387451172)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(314.3680725097656, 184.03134155273438, 315.43206787109375, 190.1753387451172)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(320.0434265136719, 184.0311279296875, 323.53143310546875, 190.22512817382812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(324.85113525390625, 186.00013732910156, 328.3231201171875, 190.22413635253906)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(332.9813537597656, 186.00013732910156, 336.53436279296875, 192.00013732910156)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(338.0231628417969, 186.09564208984375, 341.4051513671875, 190.22463989257812)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(343.0218811035156, 185.99974060058594, 346.421875, 190.1277313232422)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(348.1102294921875, 184.4319305419922, 348.79022216796875, 190.1279296875)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(350.28521728515625, 186.0004425048828, 353.3982238769531, 190.2244415283203)
Stroke: None, Fill: (0.13669031858444214, 0.12195010483264923, 0.1252918243408203), Rect: Rect(354.8771667480469, 184.03094482421875, 358.21417236328125, 190.12794494628906)
